Site ID,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Old site ID (legacy),Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
ML1153,Shernhall Street,Waltham Forest,03 Outer,03 Minor Road,1153,OUTCY183,538118.3448,189229.5629,51.584999,-0.00784453
ML1154,Upper Brentwood Road,Havering,03 Outer,03 Minor Road,1154,OUTCY184,553142.2396,189464.3057,51.583231,0.20894452
ML1155,Hilldene Avenue,Havering,03 Outer,03 Minor Road,1155,OUTCY185,553944.0882,192267.0134,51.608197,0.22173949
ML1156,Charlton Church Lane,Greenwich,03 Outer,03 Minor Road,1156,OUTCY186,541210.688,178310.2985,51.486118,0.032378959
ML1157,Birchanger Road,Croydon,03 Outer,03 Minor Road,1157,OUTCY187,534461.553,167311.5868,51.388919,-0.068935459
ML1158,Belmont Road,Bexley,03 Outer,03 Minor Road,1158,OUTCY188,550018.1777,177075.9018,51.472755,0.15861773
ML1159,Verdant Lane,Lewisham,03 Outer,03 Minor Road,1159,OUTCY189,539544.6414,172826.3882,51.437252,0.006237982
ML1160,Plaistow Lane,Bromley,03 Outer,03 Minor Road,1160,OUTCY190,540950.9438,170080.6142,51.412228,0.0253613
ML1161,Eynsham Drive,Greenwich,03 Outer,03 Minor Road,1161,OUTCY191,546704.8586,179324.7681,51.493832,0.11187038
ML1162,Coomber Lane,Sutton,03 Outer,03 Minor Road,1162,OUTCY192,530160.3273,166868.8835,51.38594,-0.13087508
ML1163,Printing House Lane,Hillingdon,03 Outer,03 Minor Road,1163,OUTCY193,509340.8224,179856.4259,51.507067,-0.42593537
ML1164,Kings Road,Kingston upon Thames,03 Outer,03 Minor Road,1164,OUTCY194,519203.1358,170399.3529,51.42008,-0.28707249
ML1165,Hall Road,Hounslow,03 Outer,03 Minor Road,1165,OUTCY195,514785.432,174884.4191,51.461301,-0.34912827
ML1166,Grove Road,Merton,03 Outer,03 Minor Road,1166,OUTCY196,528490.554,169294.7891,51.408123,-0.15398347
ML1167,Chatsworth Road,Brent,03 Outer,03 Minor Road,1167,QWPCY040,523984.97,184646.45,51.547095,-0.21335245
ML1168,St. Paul's Avenue,Brent,03 Outer,03 Minor Road,1168,QWPCY041,523184.35,184849.76,51.549095,-0.2248127
ML1169,Capel Road,Newham,03 Outer,03 Minor Road,1169,QWPCY064,541256.84,185997.1,51.55518,0.036119752
ML1170,Norbury Avenue,Croydon,03 Outer,03 Minor Road,1170,QWPCY093,531439.54,169280.58,51.407322,-0.11161294
ML1171,Parsons Mead,Croydon,03 Outer,03 Minor Road,1171,QWPCY097,531769.5,166315.03,51.380599,-0.10797078
ML1172,Sydenham Road,Croydon,03 Outer,03 Minor Road,1172,QWPCY099,532838.3,166912.4,51.385716,-0.092396118
ML1173,Lynwood Road,Ealing,03 Outer,04 Local Street,1173,OUTCY197,518018.3617,182532.09,51.529374,-0.30005766
ML1174,Elm Park,Harrow,03 Outer,04 Local Street,1174,OUTCY198,516938.605,192198.573,51.616471,-0.31240537
ML1175,College Road,Brent,03 Outer,04 Local Street,1175,OUTCY199,523108.9696,183334.2004,51.535496,-0.22643766
ML1176,Uppingham Avenue,Harrow,03 Outer,04 Local Street,1176,OUTCY200,517055.6684,190373.6454,51.600045,-0.31132498
ML1177,Hawardene Road,Brent,03 Outer,04 Local Street,1177,OUTCY201,517645.3716,185310.0448,51.554419,-0.30450458
ML1178,Salisbury Road,Haringey,03 Outer,04 Local Street,1178,OUTCY202,531510.9837,190546.9158,51.598413,-0.1026715
ML1179,Sharps Lane,Hillingdon,03 Outer,04 Local Street,1179,OUTCY203,508974.1151,187628.2312,51.576993,-0.42880291
ML1180,Wood End,Harrow,03 Outer,04 Local Street,1180,OUTCY204,514139.2583,185735.533,51.558958,-0.35491389
ML1181,Grasmere Avenue,Brent,03 Outer,04 Local Street,1181,OUTCY205,518226.2609,187200.7536,51.571284,-0.2954933
ML1182,Uphill Road,Barnet,03 Outer,04 Local Street,1182,OUTCY206,521555.1631,192487.3803,51.618091,-0.24565271
ML1183,Ringwood Way,Enfield,03 Outer,04 Local Street,1183,OUTCY207,531617.6995,194472.1322,51.633668,-0.099654422
ML1184,Slough Lane,Brent,03 Outer,04 Local Street,1184,OUTCY208,520205.4631,188649.6189,51.583888,-0.26645651
ML1185,Whitehall Road,Hillingdon,03 Outer,04 Local Street,1185,OUTCY209,505764.7498,183186.1828,51.537678,-0.47644279
ML1186,Flanders Road,Newham,03 Outer,04 Local Street,1186,OUTCY210,542771.4121,183048.0123,51.5283,0.056762206
ML1187,Park Lane,Haringey,03 Outer,04 Local Street,1187,OUTCY211,533975.1027,191054.4105,51.602398,-0.066909899
ML1188,Twickenham Road,Waltham Forest,03 Outer,04 Local Street,1188,OUTCY212,538473,186745,51.562591,-0.003702172
ML1189,Carter Drive,Havering,03 Outer,04 Local Street,1189,OUTCY213,549715.2211,191155.7115,51.599345,0.16024074
ML1190,Quebec Road,Redbridge,03 Outer,04 Local Street,1190,OUTCY214,544210.7689,188134.9562,51.573635,0.079575156
ML1191,Stevenage Road,Newham,03 Outer,04 Local Street,1191,OUTCY215,543315.1656,184804.4495,51.543941,0.065313112
ML1192,York Road,Redbridge,03 Outer,04 Local Street,1192,OUTCY216,543511.1177,186565.5554,51.559715,0.068855449
ML1193,Highview Gardens,Havering,03 Outer,04 Local Street,1193,OUTCY217,555566.7905,186715.4025,51.55787,0.24268605
ML1194,Harrow Drive,Enfield,03 Outer,04 Local Street,1194,OUTCY218,533634.054,194469.233,51.633166,-0.070529463
ML1195,Goresbrook Road,Barking & Dagenham,03 Outer,04 Local Street,1195,OUTCY219,547578.7279,183862.1893,51.534379,0.1263492
ML1196,Breamore Road,Redbridge,03 Outer,04 Local Street,1196,OUTCY220,545861.0343,186599.5357,51.559418,0.10274562
ML1197,Orford Road,Waltham Forest,03 Outer,04 Local Street,1197,OUTCY221,537610.3089,188845.2729,51.581672,-0.015322462
ML1198,Southern Way,Greenwich,03 Outer,04 Local Street,1198,OUTCY222,539956.664,178978.807,51.492432,0.014594937
ML1199,Durham Road,Bromley,03 Outer,04 Local Street,1199,OUTCY223,540043.9541,168390.7879,51.397267,0.011661436
ML1200,Anglesea Road,Greenwich,03 Outer,04 Local Street,1200,OUTCY224,543615.4837,178660.6882,51.488658,0.067135076
ML1201,Burnell Avenue,Bexley,03 Outer,04 Local Street,1201,OUTCY225,546562.2273,176128.2031,51.465151,0.10850138
ML1202,Charlton Lane,Greenwich,03 Outer,04 Local Street,1202,OUTCY226,541776.8681,177889.4689,51.482193,0.040356322
ML1203,Alnwick Road,Greenwich,03 Outer,04 Local Street,1203,OUTCY227,540678.6589,174045.7392,51.447925,0.023026066
ML1204,Brangbourne Road,Lewisham,03 Outer,04 Local Street,1204,OUTCY228,538206.3279,171347.5115,51.424289,-0.013575974
ML1205,High Street Bromley,Bromley,03 Outer,04 Local Street,1205,OUTCY229,540393.6271,168771.139,51.400604,0.016839774
ML1206,Ridgeway East,Bexley,03 Outer,04 Local Street,1206,OUTCY230,545703.801,174751.937,51.453,0.095577363
ML1207,Grant Road,Croydon,03 Outer,04 Local Street,1207,OUTCY231,533691.5303,166241.7131,51.379485,-0.080397498
ML1208,Avenue Road,Bexley,03 Outer,04 Local Street,1208,OUTCY232,550361.9637,177351.213,51.475144,0.16366993
ML1209,Ashen Vale,Croydon,03 Outer,04 Local Street,1209,OUTCY233,535807.988,162694.5884,51.347109,-0.051365149
ML1210,St. John's Road,Bromley,03 Outer,04 Local Street,1210,OUTCY234,545372.803,166916.8298,51.382682,0.087606582
ML1211,Central Avenue,Hillingdon,03 Outer,04 Local Street,1211,OUTCY235,510316.4275,181170.6097,51.518688,-0.41146743
ML1212,Wilton Crescent,Merton,03 Outer,04 Local Street,1212,OUTCY236,524828.8317,169755.2073,51.413083,-0.20644479
ML1213,Jubilee Avenue,Richmond upon Thames,03 Outer,04 Local Street,1213,OUTCY237,514211.9633,173494.477,51.448924,-0.35783537
ML1214,Peterborough Road,Sutton,03 Outer,04 Local Street,1214,OUTCY238,527491.3268,166837.2426,51.386267,-0.16922081
ML1215,Station Road,Richmond upon Thames,03 Outer,04 Local Street,1215,OUTCY239,515945.4214,173548.7015,51.449058,-0.33287581
ML1216,Katharine Street,Croydon,03 Outer,04 Local Street,1216,OUTCY240,532426.4823,165416.0894,51.372368,-0.09887052
ML1217,Cannon Hill Lane,Merton,03 Outer,04 Local Street,1217,OUTCY241,524130.2524,168470.1852,51.401687,-0.21692561
ML1218,Mattock Lane,Ealing,03 Outer,04 Local Street,1218,OUTCY242,516776.8369,180342.1169,51.509949,-0.31867885
ML1219,Elmfield Avenue,Richmond upon Thames,03 Outer,04 Local Street,1219,OUTCY243,515972.49,171159.9552,51.42758,-0.33326918
ML1220,Northcote Road,Richmond upon Thames,03 Outer,04 Local Street,1220,OUTCY244,516553.9399,174857.7567,51.460698,-0.32369946
ML1221,Green Lane Worcester Park,Sutton,03 Outer,04 Local Street,1221,OUTCY245,522355.5854,166082.9585,51.380611,-0.24325182
ML1222,Corfton Road,Ealing,03 Outer,04 Local Street,1222,OUTCY246,518150.3651,181342.6805,51.518651,-0.29855434
ML1223,Homeland Drive,Sutton,03 Outer,04 Local Street,1223,OUTCY247,525690.4983,162729.6584,51.349749,-0.19654011
ML1224,Streatham Common South,Lambeth,03 Outer,04 Local Street,1224,OUTCY248,530300.6747,170685.771,51.420211,-0.12746372
ML1225,Manor Way,Hillingdon,03 Outer,04 Local Street,1225,OUTCY249,509433.3815,187679.3866,51.577362,-0.42216596
ML1226,Kingshill Avenue,Harrow,03 Outer,04 Local Street,1226,OUTCY250,516976.8044,189115.9154,51.588755,-0.31288404
ML1227,Ashford Road,Brent,03 Outer,04 Local Street,1227,OUTCY251,523689.6693,185799.4747,51.557522,-0.21719952
ML1228,Beechwood Avenue,Barnet,03 Outer,04 Local Street,1228,OUTCY252,525112.3381,189572.2848,51.591116,-0.19534137
ML1229,Edgwarebury Lane,Barnet,03 Outer,04 Local Street,1229,OUTCY253,519308.3428,192878.8083,51.622085,-0.27795949
ML1230,Shaftesbury Avenue (Brent),Brent,03 Outer,04 Local Street,1230,OUTCY254,517983.3367,188227.8296,51.580564,-0.2986533
ML1231,Twyford Avenue,Haringey,03 Outer,04 Local Street,1231,OUTCY255,527602.6434,189606.355,51.590864,-0.1594044
ML1232,Keppel Road,Newham,03 Outer,04 Local Street,1232,OUTCY256,542694.8814,183638.7632,51.533621,0.05589181
ML1233,Victoria Road,Redbridge,03 Outer,04 Local Street,1233,OUTCY257,540818.0334,189918.2357,51.590522,0.031376456
ML1234,Somerville Road,Redbridge,03 Outer,04 Local Street,1234,OUTCY258,547383.0067,188713.0907,51.578018,0.12557117
ML1235,Park End Road,Havering,03 Outer,04 Local Street,1235,OUTCY259,551273.8592,189235.4912,51.581678,0.18189135
ML1236,Woodland Avenue,Bromley,03 Outer,04 Local Street,1236,OUTCY260,538233.9736,165381.3793,51.37067,-0.015509638
ML1237,Shepperton Road,Bromley,03 Outer,04 Local Street,1237,OUTCY261,544322.72,167078.2,51.384406,0.072594502
ML1238,Ermington Road,Bexley,03 Outer,04 Local Street,1238,OUTCY262,544426.0886,172672.8422,51.434645,0.076364125
ML1239,Cray Valley Road,Bromley,03 Outer,04 Local Street,1239,OUTCY263,546928.9017,168071.2893,51.39266,0.11042759
ML1240,Old Manor Way,Bexley,03 Outer,04 Local Street,1240,OUTCY264,550673.4374,176181.9977,51.464549,0.1676606
ML1241,Colborne Way,Sutton,03 Outer,04 Local Street,1241,OUTCY265,523055.7148,165442.4918,51.374708,-0.23341999
ML1242,Henley Avenue,Sutton,03 Outer,04 Local Street,1242,OUTCY266,524233.2991,165706.3263,51.376824,-0.21641187
ML1243,Beaconsfield Road,Ealing,03 Outer,04 Local Street,1243,OUTCY267,512312.9773,179982.8697,51.507617,-0.38309045
ML1244,Seymour Road,Richmond upon Thames,03 Outer,04 Local Street,1244,OUTCY268,517527.5497,169701.9426,51.414156,-0.31139572
ML1245,Grafton Road,Kingston upon Thames,03 Outer,04 Local Street,1245,OUTCY269,521309.988,168538.5256,51.402908,-0.25743602
ML1246,Stanford Road,Merton,03 Outer,04 Local Street,1246,OUTCY270,529786.9991,169354.782,51.408367,-0.13533844
ML1247,Broadwater Lane,Hillingdon,03 Outer,04 Local Street,1247,OUTCY271,505137.6387,189451.7093,51.594106,-0.48360764
ML1248,North Drive,Hillingdon,03 Outer,04 Local Street,1248,OUTCY272,509322.1226,187656.6131,51.577177,-0.4237743
ML1249,Woodstock Drive,Hillingdon,03 Outer,04 Local Street,1249,OUTCY273,506882.1287,185742.0411,51.560441,-0.45955351
ML1250,Somervell Road,Harrow,03 Outer,04 Local Street,1250,OUTCY274,513533.807,185570.1703,51.557597,-0.36370495
ML1251,Weald Lane,Harrow,03 Outer,04 Local Street,1251,OUTCY275,514683.7045,190414.3937,51.600901,-0.34554361
ML1252,Woodfield Crescent,Ealing,03 Outer,04 Local Street,1252,OUTCY276,517625.5752,182169.2439,51.526193,-0.30584154
ML1253,Glengall Road,Barnet,03 Outer,04 Local Street,1253,OUTCY277,519675.5613,193393.251,51.626636,-0.27248489
ML1254,Gloucester Close,Brent,03 Outer,04 Local Street,1254,OUTCY278,520663.5175,184281.0294,51.544534,-0.2613474
ML1255,Old Farm Avenue,Enfield,03 Outer,04 Local Street,1255,OUTCY279,529326.7021,194825.571,51.637372,-0.13260784
ML1256,The Chase,Harrow,03 Outer,04 Local Street,1256,OUTCY280,516250.9339,192001.1895,51.614843,-0.32240316
ML1257,Gloucester Road Barnet,Barnet,03 Outer,04 Local Street,1257,OUTCY281,525793.4956,195824.595,51.64715,-0.18327365
ML1258,Yeading Fork,Hillingdon,03 Outer,04 Local Street,1258,OUTCY282,511239.6682,182113.0599,51.526983,-0.39787288
ML1259,Drake Road,Harrow,03 Outer,04 Local Street,1259,OUTCY283,512953.3217,186953.8643,51.570144,-0.37162372
ML1260,Gladstone Avenue,Haringey,03 Outer,04 Local Street,1260,OUTCY284,531112.7225,190276.3732,51.596079,-0.10851521
ML1261,Constable Gardens,Harrow,03 Outer,04 Local Street,1261,OUTCY285,519391.6014,190266.486,51.598593,-0.27764982
ML1262,Culloden Road,Enfield,03 Outer,04 Local Street,1262,OUTCY286,531646.9283,197070.2285,51.657008,-0.09825894
ML1263,Bessingby Road,Hillingdon,03 Outer,04 Local Street,1263,OUTCY287,510656.1488,186649.5914,51.567866,-0.40484823
ML1264,Muswell Road,Haringey,03 Outer,04 Local Street,1264,OUTCY288,528792.9498,189962.0132,51.593792,-0.14210537
ML1265,Abbots Road,Barnet,03 Outer,04 Local Street,1265,OUTCY289,520363.6611,191369.5903,51.608299,-0.26324498
ML1266,Upway,Barnet,03 Outer,04 Local Street,1266,OUTCY290,527051.0735,191511.9695,51.608108,-0.1666646
ML1267,Lydford Road,Brent,03 Outer,04 Local Street,1267,OUTCY291,523621.9114,184813.7269,51.548676,-0.21852612
ML1268,Kingsmead Avenue,Brent,03 Outer,04 Local Street,1268,OUTCY292,520818.1371,187710.6676,51.575318,-0.25793611
ML1269,Avon Road,Ealing,03 Outer,04 Local Street,1269,OUTCY293,513375.1638,182343.7439,51.528625,-0.36702161
ML1270,The Fairway,Brent,03 Outer,04 Local Street,1270,OUTCY294,516923.9123,186763.7487,51.567627,-0.31443095
ML1271,Munday Road,Newham,03 Outer,04 Local Street,1271,OUTCY295,540182.4217,180926.7195,51.50988,0.018621559
ML1272,Holgate Road,Barking & Dagenham,03 Outer,04 Local Street,1272,OUTCY296,549247.2892,185020.1578,51.544346,0.15088485
ML1273,Epstein Road,Greenwich,03 Outer,04 Local Street,1273,OUTCY297,546625.5659,180295.2703,51.502577,0.11113639
ML1274,Altmore Avenue,Newham,03 Outer,04 Local Street,1274,OUTCY298,542805.6126,184034.27,51.537151,0.057651517
ML1275,Westrow Drive,Barking & Dagenham,03 Outer,04 Local Street,1275,OUTCY299,545909.8369,184628.8398,51.541696,0.10262072
ML1276,Oliver Gardens,Newham,03 Outer,04 Local Street,1276,OUTCY300,542344.623,181666.7677,51.51599,0.050053094
ML1277,Tyberry Road,Enfield,03 Outer,04 Local Street,1277,OUTCY301,534960.1731,196994.7201,51.65554,-0.050408953
ML1278,Stockton Road,Enfield,03 Outer,04 Local Street,1278,OUTCY302,534565.3089,191938.5874,51.610201,-0.058057109
ML1279,King Street,Haringey,03 Outer,04 Local Street,1279,OUTCY303,533705.01,190985.64,51.601842,-0.070832371
ML1280,Lincoln Avenue,Barking & Dagenham,03 Outer,04 Local Street,1280,OUTCY304,550920.7892,186983.1059,51.561539,0.17583402
ML1281,Godwin Road,Newham,03 Outer,04 Local Street,1281,OUTCY305,540736.2424,185712.3496,51.552749,0.028510258
ML1282,Camborne Avenue,Havering,03 Outer,04 Local Street,1282,OUTCY306,554539.0601,191381.5768,51.600073,0.2299349
ML1283,Chester Road,Haringey,03 Outer,04 Local Street,1283,OUTCY307,533089.8799,189894.4325,51.592183,-0.080134892
ML1284,Chalfont Road,Enfield,03 Outer,04 Local Street,1284,OUTCY308,533622.1398,193257.8298,51.622278,-0.071164763
ML1285,Wanlip Road,Newham,03 Outer,04 Local Street,1285,OUTCY309,540687.3657,182328.4583,51.522353,0.0264528
ML1286,Fuller Road,Barking & Dagenham,03 Outer,04 Local Street,1286,OUTCY310,546951.757,186065.1387,51.554337,0.1182351
ML1287,Primrose Road,Waltham Forest,03 Outer,04 Local Street,1287,OUTCY311,537590.092,187083.4472,51.565844,-0.016300414
ML1288,Epsom Road,Waltham Forest,03 Outer,04 Local Street,1288,OUTCY312,538256.0621,188151.4415,51.575278,-0.006278009
ML1289,Leadale Avenue,Waltham Forest,03 Outer,04 Local Street,1289,OUTCY313,537232.7758,193508.3281,51.623666,-0.018951515
ML1290,Armada Way,Newham,03 Outer,04 Local Street,1290,OUTCY314,543907.7629,181611.2836,51.5151,0.072540676
ML1291,Mowbrays Road,Havering,03 Outer,04 Local Street,1291,OUTCY315,550490.5784,190486.3631,51.593127,0.17113512
ML1292,Beattyville Gardens,Redbridge,03 Outer,04 Local Street,1292,OUTCY316,543728.2761,189280.0484,51.584055,0.07309333
ML1293,Morley Road,Barking & Dagenham,03 Outer,04 Local Street,1293,OUTCY317,548231.6461,188756.4183,51.578182,0.13781812
ML1294,Chadwick Avenue,Waltham Forest,03 Outer,04 Local Street,1294,OUTCY318,538949.7438,192934.6223,51.618087,0.005608451
ML1295,Williams Avenue,Waltham Forest,03 Outer,04 Local Street,1295,OUTCY319,536729.4478,190611.3773,51.597756,-0.027342106
ML1296,Bressey Grove,Redbridge,03 Outer,04 Local Street,1296,OUTCY320,540133.4377,190138.6726,51.59267,0.021582581
ML1297,Woodland Crescent,Greenwich,03 Outer,04 Local Street,1297,OUTCY321,539106.5978,178022.4109,51.484051,0.001982877
ML1298,Davenport Road,Lewisham,03 Outer,04 Local Street,1298,OUTCY322,538355.2007,174173.3327,51.449647,-0.010331044
ML1299,Balmoral Avenue,Bromley,03 Outer,04 Local Street,1299,OUTCY323,536373.5415,168184.437,51.396309,-0.041138546
ML1300,Purley Oaks Road,Croydon,03 Outer,04 Local Street,1300,OUTCY324,532897.0032,162326.0139,51.344489,-0.093261328
ML1301,Wallhouse Road,Bexley,03 Outer,04 Local Street,1301,OUTCY325,552593.0113,177090.3777,51.472202,0.19567089
ML1302,Denmark Road,Croydon,03 Outer,04 Local Street,1302,OUTCY326,534496.0421,167848.7431,51.393737,-0.068229495
ML1303,Linton Glade,Croydon,03 Outer,04 Local Street,1303,OUTCY327,536255.6866,162568.8244,51.345869,-0.044984625
ML1304,Amherst Drive,Bromley,03 Outer,04 Local Street,1304,OUTCY328,546267.9034,168201.912,51.393999,0.10098734
ML1305,Riddons Road,Lewisham,03 Outer,04 Local Street,1305,OUTCY329,541378.8212,172002.9739,51.429393,0.032277479
ML1306,Overdown Road,Lewisham,03 Outer,04 Local Street,1306,OUTCY330,537623.7071,171851.2174,51.42896,-0.021760267
ML1307,The Glade,Greenwich,03 Outer,04 Local Street,1307,OUTCY331,541271.1325,177274.7649,51.476793,0.032842878
ML1308,Glentrammon Road,Bromley,03 Outer,04 Local Street,1308,OUTCY332,545831.9128,163966.1244,51.356057,0.092988478
ML1309,Mickleham Road,Bromley,03 Outer,04 Local Street,1309,OUTCY333,546277.5748,169375.7959,51.404546,0.1016145
ML1310,Dowanhill Road,Lewisham,03 Outer,04 Local Street,1310,OUTCY334,538669.791,173118.4046,51.44009,-0.006228214
ML1311,Duke of Wellington Avenue,Greenwich,03 Outer,04 Local Street,1311,OUTCY335,544155.6259,179114.0184,51.4926,0.075092617
ML1312,Alsike Road,Bexley,03 Outer,04 Local Street,1312,OUTCY336,547646.5683,179089.2655,51.491475,0.12533161
ML1313,Galloway Drive,Bexley,03 Outer,04 Local Street,1313,OUTCY337,551608.518,173893.3628,51.443742,0.1801304
ML1314,Park Hill Road,Bromley,03 Outer,04 Local Street,1314,OUTCY338,539177.0189,169358.051,51.406178,-0.000399347
ML1315,Blythe Hill Lane,Lewisham,03 Outer,04 Local Street,1315,OUTCY339,536753.5976,173335.9524,51.442506,-0.033694191
ML1316,Willet Way,Bromley,03 Outer,04 Local Street,1316,OUTCY340,545289.2476,167285.1744,51.386019,0.086565544
ML1317,Conway Road,Greenwich,03 Outer,04 Local Street,1317,OUTCY341,544928.9879,178532.8847,51.487173,0.085980666
ML1318,Manor Road,Bexley,03 Outer,04 Local Street,1318,OUTCY342,546180.0605,172408.6078,51.431824,0.10147067
ML1319,Canterbury Road,Hounslow,03 Outer,04 Local Street,1319,OUTCY343,512271.2985,172490.5244,51.440288,-0.38605911
ML1320,Harvard Hill,Hounslow,03 Outer,04 Local Street,1320,OUTCY344,519957.0147,177963.1378,51.487902,-0.27367156
ML1321,Grovelands Road,Croydon,03 Outer,04 Local Street,1321,OUTCY345,530837.0572,161081.93,51.333778,-0.12327852
ML1322,Vernon Road,Richmond upon Thames,03 Outer,04 Local Street,1322,OUTCY346,520525.3385,175634.1745,51.46685,-0.2662886
ML1323,Yeading Gardens,Hillingdon,03 Outer,04 Local Street,1323,OUTCY347,510647.1534,181539.3342,51.52194,-0.40658314
ML1324,Staveley Gardens,Hounslow,03 Outer,04 Local Street,1324,OUTCY348,520964.7425,177036.6031,51.479357,-0.25949231
ML1325,Cooper Road,Croydon,03 Outer,04 Local Street,1325,OUTCY349,531472.8338,164476.3684,51.364142,-0.11291561
ML1326,Pepys Road,Merton,03 Outer,04 Local Street,1326,OUTCY350,523170.4283,169930.7671,51.415018,-0.2302127
ML1327,Goldwell Road,Croydon,03 Outer,04 Local Street,1327,OUTCY351,531103.9168,168137.8103,51.397127,-0.11686298
ML1328,Cardinal Avenue,Kingston upon Thames,03 Outer,04 Local Street,1328,OUTCY352,518535.6239,170826.5807,51.424058,-0.29653207
ML1329,Wigmore Road,Sutton,03 Outer,04 Local Street,1329,OUTCY353,527009.741,166004.451,51.378888,-0.17644142
ML1330,Worcester Road,Sutton,03 Outer,04 Local Street,1330,OUTCY354,525383.8067,163413.4926,51.355964,-0.20070533
ML1331,Ashburnham Road,Richmond upon Thames,03 Outer,04 Local Street,1331,OUTCY355,517240.5804,172310.7958,51.437665,-0.3146583
ML1332,Argyle Avenue,Hounslow,03 Outer,04 Local Street,1332,OUTCY356,513476.4461,174415.3334,51.45735,-0.36811264
ML1333,Durham Road,Hounslow,03 Outer,04 Local Street,1333,OUTCY357,511311.5652,173601.3564,51.450463,-0.39951651
ML1334,St. Marks Road,Ealing,03 Outer,04 Local Street,1334,OUTCY358,515313.2231,179814.5979,51.505504,-0.33992323
ML1335,Priory Road,Richmond upon Thames,03 Outer,04 Local Street,1335,OUTCY359,513224.2462,170100.8684,51.418617,-0.3731166
ML1336,Windham Road,Richmond upon Thames,03 Outer,04 Local Street,1336,OUTCY360,518783.4044,175830.3483,51.46898,-0.29128891
ML1337,Natal Road,Lambeth,03 Outer,04 Local Street,1337,OUTCY361,530066.6386,171048.2172,51.423527,-0.13069399
ML1338,Conway Gardens,Merton,03 Outer,04 Local Street,1338,OUTCY362,529986.6451,168347.5303,51.399271,-0.13283312
ML1339,Mount Park Road,Ealing,03 Outer,04 Local Street,1339,OUTCY363,517864.9541,181133.5603,51.516832,-0.3027442
ML1340,Gorringe Park Avenue,Merton,03 Outer,04 Local Street,1340,OUTCY364,528248.479,170171.5182,51.416059,-0.15714407
ML1341,Frensham Drive,Wandsworth,03 Outer,04 Local Street,1341,OUTCY365,521984.3515,172417.6952,51.437626,-0.24640324
ML1342,North Road,Ealing,03 Outer,04 Local Street,1342,OUTCY366,513085.0943,180407.4881,51.511283,-0.37182096
ML1343,Churston Drive,Merton,03 Outer,04 Local Street,1343,OUTCY367,523889.6532,167835.4768,51.396033,-0.22060985
ML1344,Senlac Road,Lewisham,03 Outer,04 Local Street,1344,OUTCY368,540828.0347,173169.7799,51.440016,0.02483494
ML1345,Church Road,Haringey,03 Outer,04 Local Street,1345,CSHCY001,533587.11,191001.71,51.602013,-0.072529043
ML1346,Napier Road,Haringey,03 Outer,04 Local Street,1346,CSHCY002,533347.69,189932.42,51.592464,-0.076398258
ML1347,Clinton Crescent,Redbridge,03 Outer,04 Local Street,1347,QWPCY014,545334.46,191769.51,51.606008,0.097286884
ML1348,Waterloo Road,Redbridge,03 Outer,04 Local Street,1348,QWPCY017,544135.16,190327.7,51.593359,0.079393149
ML1349,Sandringham Gardens,Redbridge,03 Outer,04 Local Street,1349,QWPCY018,544409.59,189853.54,51.58903,0.083151034
ML1350,Selborne Road,Waltham Forest,03 Outer,04 Local Street,1350,QWPCY019,536804.354,188893.639,51.5823,-0.026929023
ML1351,Ashurst Drive,Redbridge,03 Outer,04 Local Street,1351,QWPCY020,544070.36,188752.43,51.579224,0.07780963
ML1352,Coopermill Lane,Waltham Forest,03 Outer,04 Local Street,1352,QWPCY022,535911.47,188658.86,51.580404,-0.039900253
ML1353,Coppermill Lane Waterside,Waltham Forest,03 Outer,04 Local Street,1353,QWPCY023,535298.33,188399.8,51.578224,-0.04884135
ML1354,Cemetery Road,Newham,03 Outer,04 Local Street,1354,QWPCY066,539816.79,185545.1,51.551477,0.015183184
ML1355,Ellison Road,Lambeth,03 Outer,04 Local Street,1355,QWPCY092,530046.59,170178.81,51.415713,-0.13130039
ML1356,Boswell Road,Croydon,03 Outer,04 Local Street,1356,QWPCY094,532144.15,168180,51.397273,-0.10189203
ML1357,The Crescent,Croydon,03 Outer,04 Local Street,1357,QWPCY095,532785.88,167491.51,51.390931,-0.092940992
ML1358,Kimberley Road,Croydon,03 Outer,04 Local Street,1358,QWPCY096,531961.53,167450.06,51.390755,-0.10479214
ML1359,Bedford Park,Croydon,03 Outer,04 Local Street,1359,QWPCY098,532588.32,166162.89,51.379034,-0.096266397
ML1360,Park Avenue North,Brent,03 Outer,04 Local Street,1360,QWPCY115,522762.31,185471.65,51.554776,-0.23067886
ML1361,Barkingside (at Crown Road),Redbridge,03 Outer,04 Local Street,1361,QWPCY124,544644.82,189406.99,51.584953,0.086356817
ML1362,Mission Grove,Waltham Forest,03 Outer,04 Local Street,1362,QWPCY126,536363.21,188890.42,51.582379,-0.033291014
ML1363,Grand Union Canal (Ruislip Road),Ealing,03 Outer,05 Motor vehicle-free,1363,OUTCY369,512833.166,182785.888,51.532707,-0.37469003
ML1364,Cowley Bridge Lock,Hillingdon,03 Outer,05 Motor vehicle-free,1364,OUTCY370,505148.3655,182251.0004,51.529389,-0.4856001
ML1365,Harrow School playing fields,Harrow,03 Outer,05 Motor vehicle-free,1365,OUTCY371,516110.7432,187615.245,51.575453,-0.32587422
